ID,Insurance Provider,Gender,Age,Occupation,Marital Status,Family Size,Income,Expenditure,Loan Category,Loan Amount,Pending Payemnt
1,AXA,FEMALE,21,CLERK,MARRIED,3,750000,25641,GOLD LOAN,214569,16324
2,AXA,FEMALE,21,BANK MANAGER,MARRIED,4,930000,35680,HOUSING,679040,34000
3,AXA,FEMALE,24,PRODUCT ENGINEER,MARRIED,6,118927,29000,SHOPPING,80660,4500
4,AXA,FEMALE,24,SOFTWARE ENGINEER,MARRIED,6,112333,29000,COMPUTER SOFTWARES,80660,4500
5,AXA,FEMALE,24,DRIVER,MARRIED,3,42792,25854,GOLD LOAN,15350,64906
6,AXA,FEMALE,24,PRODUCT ENGINEER,MARRIED,6,105739,29000,COMPUTER SOFTWARES,80660,4500
7,AXA,FEMALE,24,DATA ANALYST,SINGLE,4,60111,28999,AUTOMOBILE,35232,33333
8,AXA,FEMALE,24,DATA ANALYST,SINGLE,4,60111,28999,RESTAURANTS,35232,33333
9,AXA,FEMALE,24,DATA ANALYST,SINGLE,4,60111,28999,RESTAURANTS,35232,33333
10,AXA,FEMALE,24,CLERK,MARRIED,7,78409,18566,TRAVELLING,54177,15938
11,AXA,FEMALE,24,TEACHER,MARRIED,5,50099,29999,RESTAURANTS,30999,12000
12,AXA,FEMALE,25,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
13,AXA,FEMALE,26,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
14,AXA,FEMALE,26,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
15,AXA,FEMALE,26,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
16,AXA,FEMALE,26,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
17,AXA,FEMALE,26,TEACHER,MARRIED,5,48099,19999,TRAVELLING,30999,12000
18,AXA,FEMALE,26,TEACHER,MARRIED,5,45099,21999,RESTAURANTS,30999,12000
19,AXA,FEMALE,27,PROFESSOR,MARRIED,6,59000,19999,AUTOMOBILE,50000,33999
20,AXA,FEMALE,27,ASSISTANT PROFESSOR,MARRIED,6,54999,25888,SHOPPING,47787,50000
21,Raffles,FEMALE,27,PROFESSOR,MARRIED,6,51000,19999,SHOPPING,50000,33999
22,Raffles,FEMALE,27,PROFESSOR,MARRIED,6,51000,19999,SHOPPING,50000,33999
23,AXA,FEMALE,27,SYSTEM MANAGER,MARRIED,3,59999,29111,ELECTRONICS,60676,13000
24,AXA,FEMALE,28,PRODUCT ENGINEER,MARRIED,6,79363,29000,COMPUTER SOFTWARES,80660,4500
25,AXA,FEMALE,28,SOFTWARE ENGINEER,MARRIED,5,55999,23999,AUTOMOBILE,60999,0
26,AXA,FEMALE,28,SOFTWARE ENGINEER,MARRIED,5,55999,23999,HOME APPLIANCES,60999,0
